Predicted Winner,Underdog
USC,Jacksonville
Howard,Georgia Tech
UC San Diego,Cal Baptist
Alabama A&M,UMBC
TX Southern,Evansville
Belmont,Utah St
Portland,USC
Alabama St,UAB
Stony Brook,Bethune-Cookman
Ark Little Rock,TX Southern
San Jose St,San Francisco
TX Southern,Abilene Chr
Monmouth NJ,Northwestern LA
Delaware,Louisiana
Utica,Oklahoma St
Missouri St,Northern Arizona
North Carolina,Manhattan
Incarnate Word,Austin Peay
Boston Univ,Monmouth NJ
Notre Dame,Loyola MD
Oral Roberts,SE Louisiana
UNC Greensboro,UNC Asheville
Birmingham So,Texas A&M
UMBC,S Carolina St
Baylor,St Peter's
Stony Brook,Idaho St
Marist,Fordham
Tennessee,Brooklyn
SE Missouri St,St Louis
SC Upstate,Villanova
Rhode Island,WI Green Bay
Lehigh,Okla City
LSU,Liberty
Memphis,FL Atlantic
VMI,Nevada
Rider,Dartmouth
Southern Indiana,SIUE
Oregon St,E Washington
Campbell,Grand Canyon
UNC Wilmington,William & Mary
Indiana St,Virginia Tech
Ga Southern,NE Illinois
South Alabama,Arizona St
Utah Valley,William & Mary
Illinois St,Wake Forest
Lehigh,Louisiana
Lafayette,Miami OH
Central Conn,Texas St
Loyola MD,Canisius
Houston Chr,Winthrop
Texas St,Sam Houston St
Rhode Island,NC A&T
Charlotte,Tennessee Tech
Cal Baptist,Cleveland St
Loy Marymount,Utah Tech
Col Charleston,UNC Asheville
South Dakota,W Carolina
Hardin-Simmons,Alabama St
North Carolina,Alabama St
Bucknell,Citadel
California,CS Sacramento
Utah St,Buffalo
Delaware,Holy Cross
Indiana,Villanova
Ark Pine Bluff,Tennessee
San Jose St,Utah Valley
UT San Antonio,Florida St
Notre Dame,Coppin St
Oklahoma,N Dakota St
UMBC,Furman
Indiana St,Wofford
SE Louisiana,Washington St
Texas,Gonzaga
Florida A&M,Washington
NJIT,Missouri KC
Mercer,Fairfield
San Jose St,Elon
Charlotte,North Alabama
Notre Dame,Wofford
Stony Brook,MA Lowell
Dartmouth,American Univ
C Michigan,S Illinois
Bethune-Cookman,Toledo
Southern Univ,Weber St
Howard,NE Illinois
Youngstown St,Northeastern
E Kentucky,Columbia
Kansas,Michigan St
Mississippi St,South Carolina
BYU,Duke
MD E Shore,NE Illinois
Col Charleston,George Mason
South Carolina,VCU
Wake Forest,Ark Little Rock
Hampton,St Mary's CA
S Dakota St,CS Fullerton
Maine,PFW
Oral Roberts,Gardner Webb
SE Missouri St,George Mason
Nevada,Texas St
California,G Washington
Mississippi St,Manhattan
Minnesota,New Mexico St
South Alabama,George Mason
Pittsburgh,CS Northridge
San Diego St,Rutgers
Richmond,Arizona St
Harvard,Stanford
Massachusetts,Armstrong St
Louisiana Tech,Bucknell
Liberty,Duquesne
Florida,Oregon
La Salle,SF Austin
NC State,Davidson
Maryland,Southern Miss
Charlotte,UT San Antonio
Cal Poly,New Mexico
Jacksonville St,Brooklyn
UC Davis,UTRGV
Loyola MD,Lindenwood
Utah,UCLA
Richmond,West Virginia
Jacksonville,Brown
Missouri St,SE Louisiana
Liberty,Harvard
LSU,Northeastern
Youngstown St,Le Moyne
DePaul,Stonehill
Fresno St,E Washington
Indiana St,Alabama St
Boston College,Bryant
Prairie View,Holy Cross
Norfolk St,Alabama St
Armstrong St,Iowa
Colorado,Montana St
Purdue,Delaware
USC,Iowa
Loy Marymount,Wright St
Florida St,IUPUI
Georgia Tech,Maryland
Massachusetts,Penn St
Savannah St,Quinnipiac
Boise St,Sam Houston St
Morehead St,Baylor
Morehead St,Missouri KC
Kent,Troy
Utah Tech,Stonehill
Ohio St,UC Riverside
Mercer,SMU
Fresno St,Portland St
Southern Indiana,American Univ
West Georgia,SC Upstate
LIU Brooklyn,VCU
F Dickinson,Monmouth NJ
VMI,UC San Diego
High Point,Hardin-Simmons
Belmont,Maine
CS Bakersfield,Siena
Campbell,Colorado
NC A&T,Xavier
Duquesne,Utah Valley
Brooklyn,New Mexico St
Tennessee St,Cal Poly
Marist,Savannah St
Alliant Intl,Washington St
Alabama St,E Washington
SE Missouri St,Michigan
Utah Tech,Northwestern LA
Indiana St,SC Upstate
E Washington,North Dakota
Le Moyne,NC State
CS Sacramento,Binghamton
Mississippi St,E Michigan
WI Milwaukee,Kansas St
WI Milwaukee,New Hampshire
Birmingham So,S Dakota St
Stanford,Oregon St
Kennesaw,Gonzaga
Wright St,Evansville
Boston Univ,Fordham
West Georgia,Norfolk St
Montana,New Orleans
Hawaii,Delaware
McNeese St,Norfolk St
Air Force,Drexel
Wichita St,Arkansas St
Illinois St,East Texas A&M
Miami FL,Bowling Green
F Dickinson,Incarnate Word
Towson,Ohio St
TCU,Mercer
San Diego,Mississippi
Memphis,Holy Cross
Santa Clara,LIU Brooklyn
Houston Chr,WKU
Old Dominion,Mercer
Mississippi St,PFW
Cornell,Rider
Monmouth NJ,Brown
Towson,Utah Tech
St Francis PA,Niagara
Iowa,F Dickinson
UCF,E Kentucky
Tennessee Tech,Montana St
W Salem St,Memphis
Ark Pine Bluff,Toledo
Stony Brook,Georgia Tech
Virginia,S Illinois
Hawaii,Baylor
Gardner Webb,Purdue
Siena,North Texas
WI Milwaukee,Xavier
UMBC,Cal Baptist
Tennessee St,Kennesaw
LIU Brooklyn,SIUE
Weber St,WI Green Bay
Georgia Tech,SE Missouri St
Le Moyne,Morris Brown
Iowa,N Illinois
Tulane,Pittsburgh
St Bonaventure,Penn St
UNC Wilmington,Kentucky
Appalachian St,Air Force
UNC Wilmington,American Univ
Southern Utah,Gardner Webb
Ohio,Georgetown
Northern Arizona,Hofstra
Samford,UAB
Loyola MD,Rider
Louisville,Duquesne
New Orleans,North Carolina
N Dakota St,Fordham
Citadel,Air Force
Louisiana,Hardin-Simmons
Alabama A&M,Lafayette
Ohio,Missouri St
North Dakota,South Alabama
E Michigan,Hawaii
Texas Tech,Belmont
St Francis NY,Southern Indiana
Indiana,Auburn
E Kentucky,USC
West Virginia,Radford
Chattanooga,Vanderbilt
Louisiana,Texas Tech
Howard,Incarnate Word
Ga Southern,Hartford
Columbia,Penn St
Holy Cross,Lamar
SE Louisiana,Oral Roberts
CS Fullerton,Northern Iowa
Xavier,Ohio St
Air Force,UC San Diego
Birmingham So,Old Dominion
E Washington,Seattle
Lamar,Oral Roberts
South Carolina,Hofstra
NE Illinois,Furman
Temple,Seton Hall
Loyola-Chicago,NC Central
San Jose St,Duke
Texas A&M,Incarnate Word
Loyola-Chicago,N Dakota St
La Salle,Queens NC
High Point,Tennessee
Wyoming,Idaho St
Queens NC,Pepperdine
Arkansas St,West Virginia
TAM C. Christi,Merrimack
Northwestern LA,Northern Iowa
Purdue,Birmingham So
West Virginia,Texas A&M
MS Valley St,Cincinnati
Alabama,FGCU
UMBC,Norfolk St
Cincinnati,Missouri
Okla City,Nebraska
North Alabama,UT Arlington
Utah Tech,Marquette
Yale,Tulsa
North Alabama,Youngstown St
Louisiana Tech,Long Beach St
Rider,Buffalo
Cal Poly,Canisius
NE Omaha,Oklahoma
Minnesota,G Washington
Tennessee St,Miami FL
N Kentucky,Louisiana
Colorado St,CS Sacramento
Akron,Texas Tech
Jacksonville St,IL Chicago
Drake,F Dickinson
SE Missouri St,Utica
Morgan St,North Alabama
SF Austin,Michigan St
Providence,Louisiana
Lehigh,Florida Intl
N Kentucky,Illinois
S Carolina St,Quinnipiac
San Diego St,Gonzaga
Pacific,NC State
Pittsburgh,NC Central
William & Mary,Quinnipiac
Syracuse,N Colorado
Rhode Island,Furman
Morris Brown,Arkansas
Jacksonville,Northern Arizona
Missouri St,Norfolk St
Davidson,Michigan St
Army,San Francisco
Wichita St,F Dickinson
Ark Pine Bluff,W Michigan
Indiana St,Loy Marymount
Cornell,Iowa St
UNC Wilmington,Lehigh
Missouri,Sam Houston St
Mississippi St,Florida
Southern Utah,Southern Univ
Colorado,George Mason
Iowa St,Rutgers
NE Illinois,UNC Wilmington
Notre Dame,New Orleans
Detroit,Bethune-Cookman
Nicholls St,St Thomas MN
Jacksonville,Oregon
Prairie View,NE Illinois
WKU,N Dakota St
Notre Dame,Kansas St
Wagner,Le Moyne
SF Austin,Cent Arkansas
Connecticut,Elon
Baylor,Incarnate Word
Campbell,Wichita St
Alliant Intl,Binghamton
San Francisco,Brown
CS Bakersfield,N Illinois
North Texas,WI Milwaukee
Rhode Island,Long Beach St
Dayton,Oregon
Elon,Massachusetts
Armstrong St,Alcorn St
South Alabama,California
Oklahoma St,Howard
Arizona,San Diego St
S Dakota St,Louisiana Tech
Delaware,Northeastern
Houston Chr,Presbyterian
Seton Hall,Duke
Hofstra,Richmond
Indiana,Morris Brown
UC Santa Barbara,S Dakota St
Florida Intl,South Alabama
SE Louisiana,Central Conn
Indiana,Mercer
Kentucky,Grand Canyon
Cal Baptist,UT Arlington
Brooklyn,East Texas A&M
West Georgia,Rutgers
Missouri St,New Mexico St
Creighton,Virginia
St Francis PA,St Joseph's PA
SE Louisiana,USC
Centenary,Mississippi
UNC Greensboro,Jackson St
San Diego St,Wright St
Loyola-Chicago,St Thomas MN
Yale,Manhattan
Kentucky,Weber St
Nevada,Hofstra
N Dakota St,Princeton
Florida,UCLA
Alliant Intl,Colgate
Georgetown,High Point
Longwood,Drake
UC Davis,Oklahoma St
Texas Tech,Oregon St
North Florida,Morgan St
Rhode Island,West Georgia
Furman,Portland
Northwestern LA,Virginia Tech
South Florida,VCU
Northwestern LA,C Michigan
Penn St,Weber St
High Point,NC A&T
Florida,Penn
New Orleans,Siena
Wake Forest,Presbyterian
NC Central,Butler
Utica,Idaho St
Kansas St,UCF
Tennessee Tech,Boston College
Virginia Tech,Cent Arkansas
TAM C. Christi,Furman
Ohio,Lindenwood
Brown,N Dakota St
Morris Brown,Akron
Texas St,WKU
Ark Pine Bluff,BYU
Southern Indiana,Hartford
Sam Houston St,CS Bakersfield
W Carolina,S Dakota St
E Michigan,Tennessee St
Longwood,Ark Little Rock
Northern Iowa,Robert Morris
Idaho St,Ga Southern
VCU,Niagara
UTRGV,Utah St
C Michigan,Cornell
Niagara,Radford
Ga Southern,Elon
Missouri,Northwestern
St Thomas MN,USC
Akron,Monmouth NJ
NE Illinois,E Kentucky
Florida Intl,St Mary's CA
San Diego,American Univ
E Kentucky,Central Conn
New Mexico St,Maryland
Fresno St,Clemson
Wyoming,Merrimack
Hampton,Boston College
Idaho,Illinois
Ark Little Rock,Ohio
N Kentucky,Montana
CS Bakersfield,La Salle
UT San Antonio,UNLV
Kent,Bucknell
Ball St,Portland St
PFW,VCU
Chicago St,UC Davis
Oklahoma,TN Martin
North Carolina,Okla City
East Carolina,Pacific
Princeton,C Michigan
Iowa St,San Diego
Le Moyne,Minnesota
Tennessee St,UNLV
Fairfield,Oregon
Memphis,Samford
Northwestern LA,East Texas A&M
Long Beach St,Tennessee Tech
UMBC,Hofstra
Maryland,Marquette
Dayton,Alabama A&M
Troy,VMI
High Point,Missouri St
Baylor,Texas Tech
Syracuse,Maryland
Toledo,Alabama
UNC Asheville,Providence
Coastal Car,Alliant Intl
Canisius,Detroit
Liberty,E Illinois
UNC Wilmington,Grand Canyon
UC Riverside,Ark Pine Bluff
UC Davis,Kentucky
Texas Tech,Augusta
Delaware St,VCU
New Hampshire,Rice
Alabama,Southern Utah
Oregon,Wright St
E Washington,South Dakota
Fresno St,Coastal Car
Nicholls St,Ark Little Rock
Marist,Kennesaw
UMBC,Kentucky
Memphis,Alcorn St
Fairfield,Coppin St
Southern Utah,Alabama St
Penn St,North Florida
ETSU,Samford
Radford,Murray St
St Francis NY,Sam Houston St
Idaho,Howard
WKU,Quinnipiac
Okla City,Duke
LIU Brooklyn,Southern Indiana
Buffalo,Morris Brown
Santa Clara,Binghamton
Duke,Northwestern LA
ULM,WI Milwaukee
Stonehill,Gonzaga
Utah St,Mississippi St
Norfolk St,La Salle
Coppin St,Stonehill
Merrimack,Drexel
Kansas,Boston College
Missouri St,Drake
Indiana,Houston Chr
Pittsburgh,VMI
UNC Greensboro,Elon
South Carolina,Delaware St
TN Martin,Mercer
Citadel,California
Utah,St Francis PA
Boston Univ,N Dakota St
New Mexico St,Dartmouth
Fresno St,North Florida
C Michigan,Old Dominion
Hampton,St John's
N Colorado,Hardin-Simmons
NC A&T,CS Fullerton
S Carolina St,Lipscomb
N Kentucky,Le Moyne
Appalachian St,Southern Indiana
Sacred Heart,WI Milwaukee
Arkansas,South Dakota
Idaho St,TCU
Idaho,NC Central
ULM,N Kentucky
Utah,South Carolina
Toledo,California
UCLA,LSU
Indiana,Monmouth NJ
Sam Houston St,UCF
N Colorado,Oklahoma St
Georgia,Drake
Marist,Kent
Virginia,NC Central
Tennessee St,Auburn
Portland,McNeese St
TAM C. Christi,Mercyhurst
Jacksonville St,MTSU
Elon,TCU
St John's,NC State
Campbell,MTSU
Drake,Prairie View
Tarleton St,Cal Poly
USC,Gardner Webb
South Carolina,Alliant Intl
Hartford,Bellarmine
Louisiana Tech,North Florida
Northern Arizona,Mississippi
UC Irvine,Weber St
Missouri KC,Florida A&M
Villanova,Pepperdine
Cent Arkansas,Baylor
NE Illinois,Troy
Alcorn St,West Virginia
Wright St,Detroit
Colgate,SE Louisiana
Davidson,CS Fullerton
Siena,E Washington
WKU,Weber St
South Carolina,Toledo
MD E Shore,Bellarmine
Colorado,Birmingham So
UT San Antonio,Memphis
Pacific,St Francis PA
SF Austin,Syracuse
Tennessee St,Belmont
CS Fullerton,Wichita St
San Diego,MA Lowell
Ohio St,Louisiana
Rhode Island,Boston College
UNC Asheville,Prairie View
Okla City,Savannah St
CS Sacramento,South Alabama
Clemson,Missouri St
Yale,North Carolina
Brown,CS Bakersfield
High Point,Clemson
UC Irvine,North Florida
Col Charleston,Lafayette
South Florida,UAB
UMBC,N Kentucky
N Illinois,PFW
N Colorado,Binghamton
UT Arlington,Syracuse
S Dakota St,Memphis
E Michigan,Coastal Car
Georgia,Armstrong St
Iowa,SC Upstate
St Louis,Furman
Wright St,Liberty
Utah Tech,Seattle
UMBC,Minnesota
San Francisco,W Carolina
Ga Southern,St Bonaventure
Sacred Heart,N Colorado
Louisiana Tech,Delaware St
Louisiana,Cornell
North Dakota,UC Irvine
Nicholls St,Oklahoma St
Tulane,Tennessee
Niagara,Purdue
Tulsa,UCLA
West Georgia,Evansville
IUPUI,Lindenwood
Vermont,MD E Shore
Texas,Stony Brook
Rice,Santa Clara
Wright St,Northern Iowa
UCF,Northeastern
Pittsburgh,Auburn
Pacific,W Salem St
Longwood,St Bonaventure
Binghamton,Robert Morris
WI Milwaukee,Loy Marymount
Youngstown St,Grambling
Youngstown St,Cal Poly
MTSU,Utah Tech
Fairfield,Maine
Iowa St,Oklahoma St
Texas Tech,Mississippi
Army,Loyola MD
Sam Houston St,Ark Little Rock
CS Fullerton,Purdue
W Carolina,Dartmouth
UT San Antonio,George Mason
Virginia,Chicago St
UNC Greensboro,CS Sacramento
North Florida,Niagara
Fairfield,Abilene Chr
Villanova,Illinois
E Washington,NC A&T
North Texas,St Peter's
Louisiana,North Texas
Marist,Ark Little Rock
High Point,Bethune-Cookman
Minnesota,Montana St
MS Valley St,Southern Univ
Merrimack,N Kentucky
Ga Southern,Chicago St
SIUE,Marquette
South Alabama,Kentucky
Kent,Rice
NJIT,Mercyhurst
Kansas St,Wake Forest
Ark Little Rock,Idaho
Toledo,Washington St
Washington St,Prairie View
Queens NC,Texas A&M
Kent,Howard
UT San Antonio,Cal Poly
Stonehill,Utah Valley
Kennesaw,CS Bakersfield
Mississippi,Drexel
Dartmouth,Gonzaga
Iona,West Virginia
South Alabama,Northwestern
Vermont,California
NE Omaha,Holy Cross
Utah Valley,Towson
Georgia St,Penn St
NE Illinois,Northeastern
Florida A&M,Howard
Austin Peay,Buffalo
Bucknell,William & Mary
Rutgers,George Mason
Le Moyne,Hawaii
Penn St,E Washington
SE Louisiana,MA Lowell
PFW,S Illinois
California,VMI
Presbyterian,TCU
Morgan St,Hartford
Oklahoma,Kansas
UNLV,Gonzaga
Alabama,NE Omaha
Utica,Purdue
CS Bakersfield,TX Southern
Portland St,Kennesaw
Tennessee Tech,Boston College
Brown,New Orleans
Wofford,Richmond
Ball St,MA Lowell
Kentucky,American Univ
S Carolina St,Pacific
W Illinois,Niagara
Boston College,Arkansas
Northern Iowa,SC Upstate
VCU,DePaul
VCU,UNC Asheville
SUNY Albany,Ball St
Dartmouth,S Carolina St
SF Austin,Northwestern LA
Utah St,SE Louisiana
Northwestern LA,Troy
UTRGV,Binghamton
Yale,San Diego
Southern Miss,UC Riverside
James Madison,Ball St
Sacred Heart,WI Green Bay
East Texas A&M,TCU
Hardin-Simmons,Texas Tech
Citadel,Appalachian St
George Mason,Toledo
Northwestern LA,UNLV
Rider,FGCU
Dartmouth,Morris Brown
Loyola-Chicago,Northern Iowa
Virginia Tech,North Dakota
Mississippi St,Lamar
Nevada,UT Arlington
Nevada,BYU
George Mason,Cal Baptist
Maryland,Hartford
Oral Roberts,Ohio
Armstrong St,DePaul
LSU,Alabama St
Bellarmine,Kansas
Baylor,UMBC
Augusta,UTEP
CS Northridge,Arizona
Northwestern,Washington St
Oklahoma,FGCU
Penn St,Utah Tech
Utica,American Univ
SE Louisiana,Oregon
McNeese St,Sam Houston St
Wright St,VCU
Oklahoma,Morgan St
Idaho St,WI Green Bay
NC Central,WI Milwaukee
LIU Brooklyn,South Carolina
Appalachian St,DePaul
SC Upstate,UC San Diego
Evansville,Toledo
Oklahoma St,WI Milwaukee
Iona,East Texas A&M
Tennessee,Alabama A&M
PFW,San Diego
Long Beach St,Prairie View
Furman,West Virginia
E Illinois,ETSU
Old Dominion,PFW
Brown,UC Riverside
Appalachian St,Gonzaga
Marquette,Monmouth NJ
Georgia Tech,Colorado
Appalachian St,Charlotte
Houston Chr,UC Irvine
Portland,Augusta
Loyola MD,North Dakota
Miami FL,Utica
Mercer,St Bonaventure
East Texas A&M,NC Central
Howard,Alabama
North Dakota,UC Davis
Robert Morris,CS Fullerton
Troy,Liberty
San Jose St,Coppin St
Cleveland St,Elon
Columbia,Holy Cross
NE Omaha,Creighton
UC Riverside,Drake
Tennessee Tech,Navy
Gonzaga,W Illinois
Savannah St,Wyoming
Vermont,Coastal Car
Arkansas,Binghamton
Ohio St,G Washington
Yale,Austin Peay
Samford,New Mexico St
St Joseph's PA,UT San Antonio
TX Southern,Bethune-Cookman
N Dakota St,Utica
St Peter's,UC Davis
Gardner Webb,Wright St
Campbell,Jacksonville
Rider,Incarnate Word
UC Santa Barbara,Bryant
C Michigan,Wake Forest
Fairfield,Seton Hall
Cornell,Chicago St
Washington,South Alabama
Colorado St,Yale
Col Charleston,SF Austin
St Mary's CA,North Carolina
La Salle,Rhode Island
Southern Indiana,UCF
Navy,Wake Forest
Furman,Texas
Manhattan,Pittsburgh
Stanford,Towson
Arizona,UCLA
Pacific,Jacksonville St
Furman,Indiana St
Charleston So,Miami FL
Hampton,UNC Wilmington
Oklahoma St,Kansas St
North Texas,FL Atlantic
Wisconsin,TAM C. Christi
Northwestern,S Dakota St
N Dakota St,UNLV
Alcorn St,Kansas St
UNC Asheville,Florida Intl
North Alabama,Longwood
Wagner,Maine
St Peter's,Rider
Stetson,W Illinois
LSU,CS Sacramento
Queens NC,Iowa
SE Louisiana,St Francis PA
UCLA,S Illinois
Mercer,SE Louisiana
Georgia Tech,Princeton
St Joseph's PA,Valparaiso
PFW,Indiana St
Buffalo,Abilene Chr
UC San Diego,Cincinnati
TN Martin,Wisconsin
Delaware St,Indiana St
Davidson,Centenary
Toledo,Alliant Intl
SE Missouri St,James Madison
Portland,Idaho
Nebraska,Arizona
Tennessee St,Wake Forest
Jackson St,La Salle
N Colorado,New Mexico
DePaul,Wake Forest
PFW,Cornell
Wake Forest,Yale
Alliant Intl,TX Southern
Wisconsin,Tulsa
TX Southern,Rhode Island
Lehigh,Morris Brown
Bowling Green,New Hampshire
W Illinois,Dartmouth
S Carolina St,SUNY Albany
Ball St,Hampton
Minnesota,West Virginia
Stanford,James Madison
Mt St Mary's,FGCU
Loyola-Chicago,Mercer
UCF,Coastal Car
Wisconsin,UT Arlington
Marist,St John's
Ohio,Kent
Marist,MD E Shore
Mississippi,NE Omaha
Longwood,ULM
F Dickinson,McNeese St
Cleveland St,Tennessee
LIU Brooklyn,Boston Univ
Idaho,SIUE
Cal Poly,Loy Marymount
Austin Peay,Kent
Arizona,UT San Antonio
Ark Pine Bluff,Arizona
Penn St,Northeastern
Iona,ETSU
Maine,CS Sacramento
Alabama A&M,Arizona
Florida St,MA Lowell
Tennessee Tech,Minnesota
Wyoming,Merrimack
Ark Little Rock,Long Beach St
Army,N Illinois
ULM,W Texas A&M
San Jose St,Northern Arizona
Mississippi,Grambling
UC San Diego,Prairie View
WI Milwaukee,Appalachian St
Old Dominion,F Dickinson
FGCU,WI Green Bay
Hawaii,Belmont
Loy Marymount,Penn St
Chattanooga,North Florida
MD E Shore,E Michigan
Virginia Tech,Ark Pine Bluff
West Virginia,Utah
Nebraska,MS Valley St
Campbell,UNC Asheville
Cornell,Purdue
TN Martin,Denver
Morehead St,Youngstown St
Kent,Lafayette
Sacred Heart,Hofstra
UC Davis,UNC Wilmington
Cal Poly,MTSU
Grand Canyon,St Peter's
Birmingham So,Clemson
Davidson,Toledo
West Virginia,Marquette
Boston Univ,Davidson
Kennesaw,Holy Cross
Grambling,Northwestern
Cincinnati,Brown
Drake,Austin Peay
Kennesaw,Northwestern
Kent,Oregon
Arkansas St,Montana
CS Sacramento,NE Illinois
MTSU,Seton Hall
UC Riverside,Florida Intl
Colgate,Penn
Detroit,S Dakota St
Colorado St,Murray St
Missouri St,Lindenwood
Winthrop,Seattle
Oral Roberts,TAM C. Christi
W Michigan,Birmingham So
North Dakota,Coppin St
CS Northridge,UC Irvine
Wagner,Oklahoma
UNC Wilmington,CS Northridge
UT San Antonio,SIUE
Stonehill,Wright St
F Dickinson,Memphis
Central Conn,Ark Little Rock
Austin Peay,TAM C. Christi
ETSU,Creighton
Quinnipiac,W Salem St
Duke,Missouri St
Air Force,Liberty
Merrimack,Cal Poly
Ball St,Niagara
SE Louisiana,Jackson St
Penn St,Davidson
Houston Chr,Ark Pine Bluff
California,Montana
South Dakota,Denver
Utah Tech,American Univ
C Michigan,Tennessee St
Alabama St,WKU
Kansas St,IL Chicago
Cal Poly,Lipscomb
Manhattan,Robert Morris
Portland St,FL Atlantic
Cincinnati,Washington St
American Univ,Navy
Louisiana Tech,Hardin-Simmons
Auburn,Creighton
Clemson,Seattle
Houston Chr,Louisiana
Binghamton,Denver
Samford,Portland
Florida,FL Atlantic
Belmont,Queens NC
Cincinnati,Col Charleston
Coppin St,Merrimack
NC State,UNC Asheville
Armstrong St,Hampton
Bucknell,Utah Valley
Boise St,Houston
Fordham,Kent
Texas,TCU
Cal Poly,Michigan St
CS Fullerton,UC Santa Barbara
Central Conn,Iowa St
UNC Asheville,MS Valley St
Longwood,William & Mary
Rhode Island,Alliant Intl
St Peter's,Nebraska
Towson,Belmont
Wagner,Birmingham So
Pepperdine,Grand Canyon
Creighton,Campbell
Iowa St,CS Northridge
Canisius,Florida
Georgia,NC State
Southern Miss,CS Bakersfield
W Salem St,Bellarmine
Stonehill,Montana
St Joseph's PA,Lindenwood
NC State,Memphis
Evansville,Massachusetts
UMBC,SE Missouri St
Boise St,Detroit
Quinnipiac,Ga Southern
Oregon,Long Beach St
Davidson,Pepperdine
Miami FL,NC Central
Washington,ULM
UCLA,Dayton
St Peter's,N Dakota St
W Texas A&M,Brooklyn
Montana,Florida Intl
Akron,Morehead St
Minnesota,San Francisco
UC Riverside,Jackson St
UMBC,LSU
MD E Shore,Gardner Webb
Nicholls St,Montana
N Kentucky,Northwestern LA
FGCU,Utah St
Missouri St,Binghamton
N Colorado,MD E Shore
SE Louisiana,Air Force
Rutgers,McNeese St
South Alabama,Boston Univ
TN Martin,Le Moyne
Winthrop,Le Moyne
Northeastern,Seton Hall
IUPUI,Bowling Green
Marquette,Nicholls St
North Alabama,Stony Brook
Denver,Buffalo
Rice,Weber St
N Dakota St,WI Milwaukee
Harvard,C Michigan
FL Atlantic,Charlotte
Chicago St,Hartford
Rice,Stetson
CS Fullerton,Tennessee Tech
Yale,Washington
IUPUI,Ohio St
Bucknell,N Illinois
Maine,MTSU
Memphis,Samford
North Carolina,Augusta
Indiana St,Providence
Hofstra,Oregon St
Fresno St,Evansville
Binghamton,Citadel
North Florida,Missouri St
Utah St,Arizona St
Villanova,Kennesaw
Georgia,MA Lowell
Fordham,Iona
Idaho St,Charlotte
Wright St,St Peter's
Rutgers,Texas St
